Index,Title,Author,Year,URL,DOI,Journal,Type,Status,FilePath,Abstract
1,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,"Deng, Zehang and Guo, Yongjian and Han, Changzhou and Ma, Wanlun and Xiong, Junwu and Wen, Sheng and Xiang, Yang",2025,https://doi.org/10.1145/3716628,10.1145/3716628,ACM Comput. Surv.,article,Failed,,"An Artificial Intelligence (AI) agent is a software entity that autonomously performs tasks or makes decisions based on pre-defined objectives and data inputs. AI agents, capable of perceiving user inputs, reasoning and planning tasks, and executing actions, have seen remarkable advancements in a..."
2,Enhancing Financial Question Answering with a Multi-Agent Reflection Framework,"Fatemi, Sorouralsadat and Hu, Yuheng",2024,https://doi.org/10.1145/3677052.3698686,10.1145/3677052.3698686,,inproceedings,Failed,,"While Large Language Models (LLMs) have shown impressive capabilities in numerous Natural Language Processing (NLP) tasks, they still struggle with financial question answering (QA), particularly when numerical reasoning is required. Recently, LLM-based multi-agent frameworks have demonstrated re..."
3,Language agents with reinforcement learning for strategic play in the Werewolf game,"Xu, Zelai and Yu, Chao and Fang, Fei and Wang, Yu and Wu, Yi",2024,,,,inproceedings,Failed,,"Agents built with large language models (LLMs) have shown great potential across a wide range of domains. However, in complex decision-making tasks, pure LLM-based agents tend to exhibit intrinsic bias in their choice of actions, which is inherited from the model's training data and results in su..."
4,"Frontiers of Large Language Model-Based Agentic Systems - Construction, Efficacy and Safety","He, Jia and Ghosh, Reshmi and Walia, Kabir and Chen, Jieqiu and Dhadiwal, Tushar and Hazel, April and Inguva, Chandra",2024,https://doi.org/10.1145/3627673.3679105,10.1145/3627673.3679105,,inproceedings,Failed,,"""The previous era was about information at your fingertips; I think of the AI era as expertise at your fingertips."" - Satya Nadella, CNBCThis tutorial explores Large Language Model (LLM)-based autonomous agents, addressing the lack of comprehensive guides on the topic. It systematically examines ..."
5,Enhancing Investment Analysis: Optimizing AI-Agent Collaboration in Financial Research,"Han, Xuewen and Wang, Neng and Che, Shangkun and Yang, Hongyang and Zhang, Kunpeng and Xu, Sean Xin",2024,https://doi.org/10.1145/3677052.3698645,10.1145/3677052.3698645,,inproceedings,Failed,,"In recent years, the application of generative artificial intelligence (GenAI) in financial analysis and investment decision-making has gained significant attention. However, most existing approaches rely on single-agent systems, which fail to fully utilize the collaborative potential of multiple..."
6,Position: evolving AI collectives enhance human diversity and enable self-regulation,"Lai, Shiyang and Potter, Yujin and Kim, Junsol and Zhuang, Richard and Song, Dawn and Evans, James",2024,,,,inproceedings,Failed,,"Large language model behavior is shaped by the language of those with whom they interact. This capacity and their increasing prevalence online portend that they will intentionally or unintentionally ""program"" one another and form emergent AI subjectivities, relationships, and collectives. Here, w..."
7,A critical review of safe reinforcement learning strategies in power and energy systems,"Bui, Van-Hai and Mohammadi, Sina and Das, Srijita and Hussain, Akhtar and Hollweg, Guilherme Vieira and Su, Wencong",2025,https://doi.org/10.1016/j.engappai.2025.110091,10.1016/j.engappai.2025.110091,Eng. Appl. Artif. Intell.,article,Failed,,
8,The Future of AI-Driven Software Engineering,"Terragni, Valerio and Vella, Annie and Roop, Partha and Blincoe, Kelly",2025,https://doi.org/10.1145/3715003,10.1145/3715003,ACM Trans. Softw. Eng. Methodol.,article,Failed,,"A paradigm shift is underway in Software Engineering, with AI systems such as LLMs playing an increasingly important role in boosting software development productivity. This trend is anticipated to persist. In the next years, we expect a growing symbiotic partnership between human software develo..."
9,Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents,"Liu, Yue and Lo, Sin Kit and Lu, Qinghua and Zhu, Liming and Zhao, Dehai and Xu, Xiwei and Harrer, Stefan and Whittle, Jon",2025,https://doi.org/10.1016/j.jss.2024.112278,10.1016/j.jss.2024.112278,J. Syst. Softw.,article,Failed,,
10,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead","He, Junda and Treude, Christoph and Lo, David",2025,https://doi.org/10.1145/3712003,10.1145/3712003,ACM Trans. Softw. Eng. Methodol.,article,Failed,,Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This paper explores the transformative potential of integrating Large Language Models into Mu...
11,Learning to break: Knowledge-enhanced reasoning in multi-agent debate system,"Wang, Haotian and Du, Xiyuan and Yu, Weijiang and Chen, Qianglong and Zhu, Kun and Chu, Zheng and Yan, Lian and Guan, Yi",2025,https://doi.org/10.1016/j.neucom.2024.129063,10.1016/j.neucom.2024.129063,Neurocomput.,article,Failed,,
12,Beyond Chatbots: Enhancing Luxembourgish Language Learning Through Multi-agent Systems and Large Language Model,"Nouzri, Sana and EL Fatimi, Meryem and Guerin, Titouan and Othmane, Mahfoud and Najjar, Amro",2024,https://doi.org/10.1007/978-3-031-77367-9_29,10.1007/978-3-031-77367-9_29,,inproceedings,Failed,,"The intersection of Artificial Intelligence (AI) and education is transforming learning and teaching, with Generative AI (GenAI) and large language models (LLMs) offering new possibilities. AI and LLMs personalize learning through adaptive study guides, instant feedback, automated grading, and co..."
13,GoNoGo: An Efficient LLM-Based Multi-agent System for Streamlining Automotive Software Release Decision-Making,"Khoee, Arsham Gholamzadeh and Yu, Yinan and Feldt, Robert and Freimanis, Andris and Rhodin, Patrick Andersson and Parthasarathy, Dhasarathy",2024,https://doi.org/10.1007/978-3-031-80889-0_3,10.1007/978-3-031-80889-0_3,,inproceedings,Failed,,Traditional methods for making software deployment decisions in the automotive industry typically rely on manual analysis of tabular software test data. These methods often lead to higher costs and delays in the software release cycle due to their labor-intensive nature. Large Language Models (LL...
